"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"4409",NA,-1.04847728663889,2.77031348,-4.0736596940237,0.000783601599115454,0.0340902219964949,-0.545908444226953
"4321",NA,-1.351378014,2.29325100069231,-4.07120196595506,0.000787790398633813,0.0340902219964949,-0.551047068949097
"2442","Rv3138",-0.913199224444444,1.38843194830769,-4.07090669741341,0.000788295152851667,0.0340902219964949,-0.551664423198311
"4747",NA,-0.997547443305556,2.39556896630769,-4.07046608696065,0.000789048971870131,0.0340902219964949,-0.552585664006611
"5253",NA,-1.51305065116667,3.06674505184615,-4.06195143948845,0.000803759846559235,0.0340902219964949,-0.570388867623845
"3107","Rv3735",1.00043906066667,1.54441158238462,4.06030054542459,0.000806643964475568,0.0340902219964949,-0.57384082227395
"5338",NA,-0.680919298944444,3.684194919,-4.05176277640392,0.000821726805538283,0.0340902219964949,-0.591693518401964
"3795","Rv0811c",-0.607724569777778,1.32198737553846,-4.05075545030297,0.000823524996315305,0.0340902219964949,-0.593799922453448
"4373",NA,-0.830208030333333,2.45034474138462,-4.04884611533185,0.000826944264660651,0.0340902219964949,-0.5977925361099
"1701","RVnc0008",-1.33885903077778,5.44605296007692,-4.04870868702904,0.000827190924788214,0.0340902219964949,-0.598079914308088
"5174",NA,-2.33349734927778,2.20735127761538,-4.04538710281098,0.000833175201780006,0.0340902219964949,-0.60502578982901
"5270",NA,-0.649386142638889,2.08730740992308,-4.028376797851,0.000864512238733281,0.0351044363606848,-0.640598416022729
"3522","Rv0568",-0.636114462194445,1.28775125638462,-4.00660906558048,0.000906351935634847,0.0365266644737051,-0.68612357068158
"4030",NA,-0.942750621138889,1.95519045830769,-3.99808849618514,0.000923279322691793,0.0369311729076717,-0.703944358035735
"1457","Rv2273",1.04160625672222,1.77853649538462,3.99249067738304,0.000934573101190405,0.0370073834595908,-0.715652392616143
"3642","Rv0672",-0.864648543083333,1.43298800623077,-3.99031829589132,0.000938993311661259,0.0370073834595908,-0.720196038020369
"4826",NA,-0.937417630305556,1.02673853138462,-3.98046179471972,0.000959314437812873,0.0375323020925329,-0.740811591420719
"2236","Rv2960c",-0.689344992361111,1.09723156838462,-3.97049587994037,0.000980311158470693,0.0380758536913255,-0.761656195398035
"4733",NA,-1.0225452915,3.41242050946154,-3.96179232070056,0.000999026173654128,0.0385235992142887,-0.779860527699726
"3083","Rv3714c",0.828806947055555,1.33035865838462,3.95560675345085,0.0010125448994443,0.038766004721582,-0.792798215486581
"5169",NA,-1.09815858594444,1.23871459307692,-3.9499267463591,0.00102512069314561,0.0388136340416359,-0.804678428050234
"4582",NA,-0.787909102722222,1.51513602584615,-3.94851455729215,0.00102827164811797,0.0388136340416359,-0.807632129733689
"4960",NA,-0.536943021555556,0.960666542846154,-3.93342182766688,0.00106256168970188,0.0397639002868324,-0.839199334923545
"5060",NA,-0.762925998305555,2.12071377046154,-3.93095096385463,0.00106828388830296,0.0397639002868324,-0.8443671822128
"4170",NA,-0.690757916583333,3.56479714307692,-3.91989872622603,0.00109426092579728,0.0404294954540812,-0.867482685439265
"4322",NA,-0.791948602527778,1.33933985730769,-3.91696964552025,0.00110125118214475,0.0404294954540812,-0.87360866178311
"1376","Rv2204c",-1.98348547230556,2.28357064069231,-3.91247389240338,0.00111206768744906,0.0405488626171902,-0.883011108103765
"2593","Rv3272",-0.750643761972222,1.25085828915385,-3.90763472464783,0.00112382973560945,0.0406113944503028,-0.893131597066316
"965","Rv1837c",-0.576337639694444,1.38756566692308,-3.90267353090613,0.00113601812982517,0.0406113944503028,-0.903507079803499
"4763",NA,-0.749325478027778,3.04080664176923,-3.90124816590742,0.00113954438045299,0.0406113944503028,-0.906487943918458
"3403","Rv0464c",-0.699561449,1.31352462261538,-3.89941741601092,0.00114408965708875,0.0406113944503028,-0.910316560629995
"5228",NA,-0.936235720333334,5.105278536,-3.89468826662028,0.00115591535177526,0.0407612255626012,-0.920206398074945
"3890","Rv0896",-0.659764297861112,1.60566199323077,-3.88467745180835,0.00118135486725052,0.0413860267219791,-0.941140729732418
"70","Rv1037c",-0.528658425944444,1.71755089461538,-3.87227619890865,0.00121364984027,0.041949632178049,-0.967072193829615
"2973","Rv3619c",-0.528658425944444,1.71755089461538,-3.87227619890865,0.00121364984027,0.041949632178049,-0.967072193829615
"4852",NA,-1.24382940830556,2.18475493846154,-3.86857477198471,0.00122345962548982,0.041949632178049,-0.974811609538896
"2767","Rv3429",-1.00834406875,1.04000021546154,-3.8665914928197,0.00122874855446897,0.041949632178049,-0.978958421704113
"4095",NA,-0.734634109777777,2.77637442776923,-3.85659843645288,0.00125574872226587,0.0424395929574946,-0.999851863369882
"4009",NA,-0.757015455277778,2.28065579761538,-3.85543315809617,0.00125893568661225,0.0424395929574946,-1.00228811962015
"4268",NA,-0.589125219444444,2.12577803884615,-3.84444447383968,0.00128939095660404,0.043126216777408,-1.0252611103283
"4904",NA,-0.540066724055556,2.25400338107692,-3.84230863376226,0.00129539569051543,0.043126216777408,-1.02972605833845
"4416",NA,-0.801211207361111,1.48076126023077,-3.83750708247567,0.00130899743801437,0.0433100386898581,-1.03976333281109
"3406","Rv0046c",-0.587724813722222,1.836051208,-3.82346069736785,0.001349615620778,0.044270977572311,-1.0691236076443
"3409","Rv0469",-0.545569718277778,0.806160931846154,-3.8217799473695,0.00135455976154086,0.044270977572311,-1.07263649823594
"2040","Rv2785c",-1.63877794119444,2.24384639607692,-3.81069072979121,0.00138763826383205,0.0450772187523625,-1.0958121997997
"1004","Rv1872c",-0.928667605055555,1.64632417392308,-3.80424798473288,0.00140722714193114,0.045099672701525,-1.10927577944396
"1702","Rvnt28",2.42812950747222,2.52345530069231,3.80158310573247,0.00141541036960574,0.045099672701525,-1.11484435417501
"3982",NA,-0.617191396277777,3.31635055423077,-3.80069599348906,0.00141814504973299,0.045099672701525,-1.1166980392278
"4274",NA,-0.870860046888889,2.22593596461538,-3.79805683072085,0.0014263120728435,0.045099672701525,-1.12221264298635
"3315","Rv3921c",-0.771736167472222,1.55818079207692,-3.79674148062599,0.00143040006702598,0.045099672701525,-1.12496103722926
"3598","Rvnt07",-3.00048201438889,2.67118625630769,-3.78271041141968,0.00147474451316246,0.0461069930847608,-1.15427579238615
"2616","Rv0324",0.804166191833333,1.719968565,3.78121449269989,0.0014795527631677,0.0461069930847608,-1.15740085964545
